Locality,CPA,URL,City,State
La Adela,B6533XAC,https://codigo-postal.co/argentina/cpa/B6533XAC/,Alfredo Demarchi,Buenos Aires
Las Rosas,B6533XAD,https://codigo-postal.co/argentina/cpa/B6533XAD/,Alfredo Demarchi,Buenos Aires
Ramon J Neild,B6533XAE,https://codigo-postal.co/argentina/cpa/B6533XAE/,Alfredo Demarchi,Buenos Aires
Reginaldo J Neild,B6533XAF,https://codigo-postal.co/argentina/cpa/B6533XAF/,Alfredo Demarchi,Buenos Aires
Alsina,código postal es 2938,https://codigo-postal.co/argentina/buenos-aires/alsina/,Alsina,Buenos Aires
Abra de Hinojo,B8170XAA,https://codigo-postal.co/argentina/cpa/B8170XAA/,Alta Vista,Buenos Aires
Alta Vista,B8170XAB,https://codigo-postal.co/argentina/cpa/B8170XAB/,Alta Vista,Buenos Aires
Ducos,B8170XAC,https://codigo-postal.co/argentina/cpa/B8170XAC/,Alta Vista,Buenos Aires
Altona,B7303XAD,https://codigo-postal.co/argentina/cpa/B7303XAD/,Altona,Buenos Aires
Campo Rojas,B7303XAE,https://codigo-postal.co/argentina/cpa/B7303XAE/,Altona,Buenos Aires
El Sauce,B7303XAB,https://codigo-postal.co/argentina/cpa/B7303XAB/,Altona,Buenos Aires
Sabbi,B7303XAG,https://codigo-postal.co/argentina/cpa/B7303XAG/,Altona,Buenos Aires
Santa Rosa,B7303XAC,https://codigo-postal.co/argentina/cpa/B7303XAC/,Altona,Buenos Aires
Yerbas,B7303XAF,https://codigo-postal.co/argentina/cpa/B7303XAF/,Altona,Buenos Aires
Algarrobo,B8132XAB,https://codigo-postal.co/argentina/buenos-aires/algarrobo/,Algarrobo,Buenos Aires
Algarrobo,B8132XAB,https://codigo-postal.co/argentina/buenos-aires/algarrobo/,Algarrobo,Buenos Aires
Algarrobo,B8132XAB,https://codigo-postal.co/argentina/buenos-aires/algarrobo/,Algarrobo,Buenos Aires
Alamos,B6437XAE,https://codigo-postal.co/argentina/cpa/B6437XAE/,Alfa,Buenos Aires
Alfa,B6437XAF,https://codigo-postal.co/argentina/cpa/B6437XAF/,Alfa,Buenos Aires
Arroyo el Chingolo,B6437XAG,https://codigo-postal.co/argentina/cpa/B6437XAG/,Alfa,Buenos Aires
Arroyo Venado,B6437XAH,https://codigo-postal.co/argentina/cpa/B6437XAH/,Alfa,Buenos Aires
Colonia San Ramon,B6437XAA,https://codigo-postal.co/argentina/cpa/B6437XAA/,Alfa,Buenos Aires
El Nilo,B6435XAA,https://codigo-postal.co/argentina/cpa/B6435XAA/,Alfa,Buenos Aires
El Trebañon,B6437XAB,https://codigo-postal.co/argentina/cpa/B6437XAB/,Alfa,Buenos Aires
La Gregoria,B6437XAC,https://codigo-postal.co/argentina/cpa/B6437XAC/,Alfa,Buenos Aires
La Herminia,B6437XAD,https://codigo-postal.co/argentina/cpa/B6437XAD/,Alfa,Buenos Aires
Las Cuatro Hermanas,B6437XAI,https://codigo-postal.co/argentina/cpa/B6437XAI/,Alfa,Buenos Aires
Las Mercedes,B6437XAJ,https://codigo-postal.co/argentina/cpa/B6437XAJ/,Alfa,Buenos Aires
Las Tres Flores,B6437XAK,https://codigo-postal.co/argentina/cpa/B6437XAK/,Alfa,Buenos Aires
Santa Rita Pdo Guamini,B6437XAL,https://codigo-postal.co/argentina/cpa/B6437XAL/,Alfa,Buenos Aires
Almacen el Descanso,B2752XAB,https://codigo-postal.co/argentina/cpa/B2752XAB/,Almacen el Descanso,Buenos Aires
Arroyo de Luna,B2752XAC,https://codigo-postal.co/argentina/cpa/B2752XAC/,Almacen el Descanso,Buenos Aires
Campo la Elisa,B2752XAD,https://codigo-postal.co/argentina/cpa/B2752XAD/,Almacen el Descanso,Buenos Aires
Colegio San Pablo,B2752XAE,https://codigo-postal.co/argentina/cpa/B2752XAE/,Almacen el Descanso,Buenos Aires
El Silencio,B2752XAA,https://codigo-postal.co/argentina/cpa/B2752XAA/,Almacen el Descanso,Buenos Aires
Haras los Cardales,B2752XAF,https://codigo-postal.co/argentina/cpa/B2752XAF/,Almacen el Descanso,Buenos Aires
Retiro San Pablo,B2752XAG,https://codigo-postal.co/argentina/cpa/B2752XAG/,Almacen el Descanso,Buenos Aires
Almacen la Colina,B2740XAA,https://codigo-postal.co/argentina/cpa/B2740XAA/,Almacen la Colina,Buenos Aires
Cañada Marta,B2740XAB,https://codigo-postal.co/argentina/cpa/B2740XAB/,Almacen la Colina,Buenos Aires
El Nacional,B2740XAC,https://codigo-postal.co/argentina/cpa/B2740XAC/,Almacen la Colina,Buenos Aires
La Delia,B2740XAD,https://codigo-postal.co/argentina/cpa/B2740XAD/,Almacen la Colina,Buenos Aires
La Nelida,B2740XAE,https://codigo-postal.co/argentina/cpa/B2740XAE/,Almacen la Colina,Buenos Aires
Puente Cañete,B2740XAF,https://codigo-postal.co/argentina/cpa/B2740XAF/,Almacen la Colina,Buenos Aires
Villa Sanguinetti,B2740XAG,https://codigo-postal.co/argentina/cpa/B2740XAG/,Almacen la Colina,Buenos Aires
Alto Verde,B2801XAC,https://codigo-postal.co/argentina/cpa/B2801XAC/,Alto Verde,Buenos Aires
El Tatu,B2801XAB,https://codigo-postal.co/argentina/cpa/B2801XAB/,Alto Verde,Buenos Aires
Escalada,B2801XAA,https://codigo-postal.co/argentina/cpa/B2801XAA/,Alto Verde,Buenos Aires
Alferez San Martin,B8117XAA,https://codigo-postal.co/argentina/cpa/B8117XAA/,Alferez San Martin,Buenos Aires
Chasico,B8117XAF,https://codigo-postal.co/argentina/cpa/B8117XAF/,Alferez San Martin,Buenos Aires
El Cortapie,B8117XAH,https://codigo-postal.co/argentina/cpa/B8117XAH/,Alferez San Martin,Buenos Aires
Empalme Piedra Echada,B8117XAE,https://codigo-postal.co/argentina/cpa/B8117XAE/,Alferez San Martin,Buenos Aires
Lopez Lecube,B8117XAC,https://codigo-postal.co/argentina/cpa/B8117XAC/,Alferez San Martin,Buenos Aires
Nueva Roma,B8117XAI,https://codigo-postal.co/argentina/cpa/B8117XAI/,Alferez San Martin,Buenos Aires
Pelicura,B8117XAJ,https://codigo-postal.co/argentina/cpa/B8117XAJ/,Alferez San Martin,Buenos Aires
Piedra Ancha,B8117XAD,https://codigo-postal.co/argentina/cpa/B8117XAD/,Alferez San Martin,Buenos Aires
Venancio,B8117XAB,https://codigo-postal.co/argentina/cpa/B8117XAB/,Alferez San Martin,Buenos Aires
Almacen Castro,B2751XAA,https://codigo-postal.co/argentina/cpa/B2751XAA/,Almacen Castro,Buenos Aires
Almacen el Cruce,B2751XAF,https://codigo-postal.co/argentina/cpa/B2751XAF/,Almacen Castro,Buenos Aires
Colonia la Invernada,B2751XAI,https://codigo-postal.co/argentina/cpa/B2751XAI/,Almacen Castro,Buenos Aires
Colonia la Nena,B2751XAB,https://codigo-postal.co/argentina/cpa/B2751XAB/,Almacen Castro,Buenos Aires
Colonia la Noria,B2751XAG,https://codigo-postal.co/argentina/cpa/B2751XAG/,Almacen Castro,Buenos Aires
Colonia la Reina,B2751XAH,https://codigo-postal.co/argentina/cpa/B2751XAH/,Almacen Castro,Buenos Aires
Colonia Laborderoy,B2751XAC,https://codigo-postal.co/argentina/cpa/B2751XAC/,Almacen Castro,Buenos Aires
Colonia los Toldos,B2751XAD,https://codigo-postal.co/argentina/cpa/B2751XAD/,Almacen Castro,Buenos Aires
Colonia Stegman,B2751XAJ,https://codigo-postal.co/argentina/cpa/B2751XAJ/,Almacen Castro,Buenos Aires
El Quemado,B2751XAE,https://codigo-postal.co/argentina/cpa/B2751XAE/,Almacen Castro,Buenos Aires
La Sarita,B2751XAK,https://codigo-postal.co/argentina/cpa/B2751XAK/,Almacen Castro,Buenos Aires
Alejandro Korn,código postal es 1864,https://codigo-postal.co/argentina/buenos-aires/alejandro-korn/,Alejandro Korn,Buenos Aires
Altamira,B6601XAB,https://codigo-postal.co/argentina/cpa/B6601XAB/,Altamira,Buenos Aires
Comahue Oeste,B6601XAC,https://codigo-postal.co/argentina/cpa/B6601XAC/,Altamira,Buenos Aires
Espora,B6601XAG,https://codigo-postal.co/argentina/cpa/B6601XAG/,Altamira,Buenos Aires
La Valerosa,B6601XAD,https://codigo-postal.co/argentina/cpa/B6601XAD/,Altamira,Buenos Aires
La Verde,B6601XAE,https://codigo-postal.co/argentina/cpa/B6601XAE/,Altamira,Buenos Aires
San Eladio,B6601XAA,https://codigo-postal.co/argentina/cpa/B6601XAA/,Altamira,Buenos Aires
Tomas Jofre,B6601XAF,https://codigo-postal.co/argentina/cpa/B6601XAF/,Altamira,Buenos Aires
Alegre,B1987XAA,https://codigo-postal.co/argentina/cpa/B1987XAA/,Alegre,Buenos Aires
Cancha del Pollo,B1987XAB,https://codigo-postal.co/argentina/cpa/B1987XAB/,Alegre,Buenos Aires
Cuartel 2,B1987XAC,https://codigo-postal.co/argentina/cpa/B1987XAC/,Alegre,Buenos Aires
Dantas,B1987XAE,https://codigo-postal.co/argentina/cpa/B1987XAE/,Alegre,Buenos Aires
Espartillar,B1987XAD,https://codigo-postal.co/argentina/cpa/B1987XAD/,Alegre,Buenos Aires
Almirante Solier,B8109XAE,https://codigo-postal.co/argentina/cpa/B8109XAE/,Almirante Solier,Buenos Aires
Balneario Parada,B8109XAB,https://codigo-postal.co/argentina/cpa/B8109XAB/,Almirante Solier,Buenos Aires
Desvio Sandrini,B8109XAC,https://codigo-postal.co/argentina/cpa/B8109XAC/,Almirante Solier,Buenos Aires
Kilometro 652,B8109XAA,https://codigo-postal.co/argentina/cpa/B8109XAA/,Almirante Solier,Buenos Aires
La Martina,B8109XAD,https://codigo-postal.co/argentina/cpa/B8109XAD/,Almirante Solier,Buenos Aires
Villa Laura,B8109XAF,https://codigo-postal.co/argentina/cpa/B8109XAF/,Almirante Solier,Buenos Aires
Villa Maio,B8109XAG,https://codigo-postal.co/argentina/cpa/B8109XAG/,Almirante Solier,Buenos Aires
Francisco Casal,B6230XAE,https://codigo-postal.co/argentina/cpa/B6230XAE/,Alejandro Petion,Buenos Aires
Almirante Irizar,B1629XAA,https://codigo-postal.co/argentina/cpa/B1629XAA/,Almirante Irizar,Buenos Aires
Barrio San Alejo,B1629XAB,https://codigo-postal.co/argentina/cpa/B1629XAB/,Almirante Irizar,Buenos Aires
Establecimiento San Miguel,B1629XAG,https://codigo-postal.co/argentina/cpa/B1629XAG/,Almirante Irizar,Buenos Aires
Kilometro 61,B1629XAH,https://codigo-postal.co/argentina/cpa/B1629XAH/,Almirante Irizar,Buenos Aires
Villa Agueda,B1629XAC,https://codigo-postal.co/argentina/cpa/B1629XAC/,Almirante Irizar,Buenos Aires
Villa Buide,B1629XAD,https://codigo-postal.co/argentina/cpa/B1629XAD/,Almirante Irizar,Buenos Aires
Villa Santa Maria,B1629XAE,https://codigo-postal.co/argentina/cpa/B1629XAE/,Almirante Irizar,Buenos Aires
Villa Verde,B1629XAF,https://codigo-postal.co/argentina/cpa/B1629XAF/,Almirante Irizar,Buenos Aires
Almacen Castro,B2751XAA,https://codigo-postal.co/argentina/cpa/B2751XAA/,Almacen el Cruce,Buenos Aires
Almacen el Cruce,B2751XAF,https://codigo-postal.co/argentina/cpa/B2751XAF/,Almacen el Cruce,Buenos Aires
Colonia la Invernada,B2751XAI,https://codigo-postal.co/argentina/cpa/B2751XAI/,Almacen el Cruce,Buenos Aires
Colonia la Nena,B2751XAB,https://codigo-postal.co/argentina/cpa/B2751XAB/,Almacen el Cruce,Buenos Aires
Colonia la Noria,B2751XAG,https://codigo-postal.co/argentina/cpa/B2751XAG/,Almacen el Cruce,Buenos Aires
Colonia la Reina,B2751XAH,https://codigo-postal.co/argentina/cpa/B2751XAH/,Almacen el Cruce,Buenos Aires
Colonia Laborderoy,B2751XAC,https://codigo-postal.co/argentina/cpa/B2751XAC/,Almacen el Cruce,Buenos Aires
Colonia los Toldos,B2751XAD,https://codigo-postal.co/argentina/cpa/B2751XAD/,Almacen el Cruce,Buenos Aires
Colonia Stegman,B2751XAJ,https://codigo-postal.co/argentina/cpa/B2751XAJ/,Almacen el Cruce,Buenos Aires
El Quemado,B2751XAE,https://codigo-postal.co/argentina/cpa/B2751XAE/,Almacen el Cruce,Buenos Aires
La Sarita,B2751XAK,https://codigo-postal.co/argentina/cpa/B2751XAK/,Almacen el Cruce,Buenos Aires
Altamirano,B1986XAA,https://codigo-postal.co/argentina/cpa/B1986XAA/,Altamirano,Buenos Aires
Almacen Piatti,B2711XAB,https://codigo-postal.co/argentina/cpa/B2711XAB/,Almacen Piatti,Buenos Aires
Colonia la Vanguardia,B2711XAD,https://codigo-postal.co/argentina/cpa/B2711XAD/,Almacen Piatti,Buenos Aires
Paraje Santa Rosa,B2711XAC,https://codigo-postal.co/argentina/cpa/B2711XAC/,Almacen Piatti,Buenos Aires
Pearson,B2711XAA,https://codigo-postal.co/argentina/cpa/B2711XAA/,Almacen Piatti,Buenos Aires
San Federico,B2711XAE,https://codigo-postal.co/argentina/cpa/B2711XAE/,Almacen Piatti,Buenos Aires
Aldecon,B7406XAG,https://codigo-postal.co/argentina/cpa/B7406XAG/,Aldecon,Buenos Aires
Chala Quilca,B7406XAH,https://codigo-postal.co/argentina/cpa/B7406XAH/,Aldecon,Buenos Aires
Fortin Necochea,B7406XAI,https://codigo-postal.co/argentina/cpa/B7406XAI/,Aldecon,Buenos Aires
Las Bandurrias,B7406XAF,https://codigo-postal.co/argentina/cpa/B7406XAF/,Aldecon,Buenos Aires
Las Martinetas,B7406XAA,https://codigo-postal.co/argentina/cpa/B7406XAA/,Aldecon,Buenos Aires
Lastra,B7406XAB,https://codigo-postal.co/argentina/cpa/B7406XAB/,Aldecon,Buenos Aires
Quilco,B7406XAC,https://codigo-postal.co/argentina/cpa/B7406XAC/,Aldecon,Buenos Aires
San Quilco,B7406XAD,https://codigo-postal.co/argentina/cpa/B7406XAD/,Aldecon,Buenos Aires
Santa Clementina,B7406XAE,https://codigo-postal.co/argentina/cpa/B7406XAE/,Aldecon,Buenos Aires
Alvarez Jonte,B1921XAH,https://codigo-postal.co/argentina/cpa/B1921XAH/,Alvarez Jonte,Buenos Aires
Colonia Beethoven,B1921XAB,https://codigo-postal.co/argentina/cpa/B1921XAB/,Alvarez Jonte,Buenos Aires
El Rosario,B1921XAA,https://codigo-postal.co/argentina/cpa/B1921XAA/,Alvarez Jonte,Buenos Aires
La Primavera,B1921XAE,https://codigo-postal.co/argentina/cpa/B1921XAE/,Alvarez Jonte,Buenos Aires
